Odczuwalna,Ciśnienie,Wilgotność,Zwykla temperatura,Opis pogody,Miejsce,Prędkosc wiatru,Data pomiaru,0,Zwykła temperatura,Prędkość wiatru
23.5,1016.0,58.0,23.57,few clouds,Lisbon,20.38,2025-07-09 18:53:08.777232,,,
23.5,1016.0,58.0,23.57,few clouds,Lisbon,20.38,2025-07-09 18:53:54.067136,,,
23.04,1016.0,57.0,23.18,few clouds,Lisbon,16.67,2025-07-09 18:54:39.216182,,,
23.04,1016.0,57.0,23.18,few clouds,Lisbon,16.67,2025-07-09 18:55:24.353464,,,
23.04,1016.0,57.0,23.18,few clouds,Lisbon,16.67,2025-07-09 18:56:09.506904,,,
23.04,1016.0,57.0,23.18,few clouds,Lisbon,16.67,2025-07-09 18:56:54.630349,,,
23.04,1016.0,57.0,23.18,few clouds,Lisbon,16.67,2025-07-09 18:57:39.786291,,,
23.04,1016.0,57.0,23.18,few clouds,Lisbon,16.67,2025-07-09 18:58:24.937271,,,
23.04,1016.0,57.0,23.18,few clouds,Lisbon,16.67,2025-07-09 18:59:10.071554,,,
23.04,1016.0,57.0,23.18,few clouds,Lisbon,16.67,2025-07-09 18:59:55.198350,,,
23.04,1016.0,57.0,23.18,few clouds,Lisbon,16.67,2025-07-09 19:00:40.321703,,,
23.04,1016.0,57.0,23.18,few clouds,Lisbon,16.67,2025-07-09 19:01:25.464580,,,
23.04,1016.0,57.0,23.18,few clouds,Lisbon,16.67,2025-07-09 19:02:10.601821,,,
23.04,1016.0,57.0,23.18,few clouds,Lisbon,16.67,2025-07-09 19:02:55.742747,,,
23.04,1016.0,57.0,23.18,few clouds,Lisbon,16.67,2025-07-09 19:03:40.873096,,,
23.04,1016.0,57.0,23.18,few clouds,Lisbon,16.67,2025-07-09 19:04:26.001916,,,
22.97,1016.0,59.0,23.07,few clouds,Lisbon,22.21,2025-07-09 19:05:11.160244,,,
22.97,1016.0,59.0,23.07,few clouds,Lisbon,22.21,2025-07-09 19:05:56.324308,,,
22.97,1016.0,59.0,23.07,few clouds,Lisbon,22.21,2025-07-09 19:06:41.465640,,,
22.97,1016.0,59.0,23.07,few clouds,Lisbon,22.21,2025-07-09 19:07:26.615572,,,
22.97,1016.0,59.0,23.07,few clouds,Lisbon,22.21,2025-07-09 19:08:11.758994,,,
22.97,1016.0,59.0,23.07,few clouds,Lisbon,22.21,2025-07-09 19:08:56.904675,,,
22.97,1016.0,59.0,23.07,few clouds,Lisbon,22.21,2025-07-09 19:09:42.053248,,,
22.97,1016.0,59.0,23.07,few clouds,Lisbon,22.21,2025-07-09 19:10:27.191950,,,
23.0,1016.0,60.0,23.07,few clouds,Lisbon,22.21,2025-07-09 19:11:12.544660,,,
23.0,1016.0,60.0,23.07,few clouds,Lisbon,22.21,2025-07-09 19:11:57.687808,,,
23.0,1016.0,60.0,23.07,few clouds,Lisbon,22.21,2025-07-09 19:12:42.838059,,,
23.0,1016.0,60.0,23.07,few clouds,Lisbon,22.21,2025-07-09 19:13:27.975182,,,
23.0,1016.0,60.0,23.07,few clouds,Lisbon,22.21,2025-07-09 19:14:13.367198,,,
23.0,1016.0,60.0,23.07,few clouds,Lisbon,22.21,2025-07-09 19:14:58.728669,,,
23.0,1016.0,60.0,23.07,few clouds,Lisbon,22.21,2025-07-09 19:15:44.139676,,,
22.97,1016.0,59.0,23.07,few clouds,Lisbon,22.21,2025-07-09 19:16:30.497383,,,
,,,,,,,,,,
27.69,1018.0,41.0,27.95,clear sky,Lisbon,25.92,2025-07-17 17:11:34.366772,,,
28.12,1018.0,35.0,28.91,clear sky,Lisbon,29.63,2025-07-17 17:20:26.634522,,,
28.12,1018.0,35.0,28.91,clear sky,Lisbon,29.63,2025-07-17 17:20:37.060907,,,
28.12,1018.0,35.0,,clear sky,Lisbon,,2025-07-17 17:21:35.291194,,28.91,29.63
28.12,1018.0,35.0,,clear sky,Lisbon,,2025-07-17 17:21:45.729384,,28.91,29.63
